English,Ga
   A woman of Samaria came to draw water Jesus said to her 'Give Me a drink',  Ni Samariayoo ko ba nuyɛɛ Yesu kɛɛ lɛ akɛ “Hã mi nu lɛ eko manu”
   For His disciples had gone away into the city to buy food,  No mli lɛ ekaselɔi lɛ etee maŋ lɛ mli amɛyaahe niyenii
   Then the woman of Samaria said to Him 'How is it that You being a Jew ask a drink from me a Samaritan woman?' For Jews have no dealings with Samaritans,  Kɛkɛ lɛ Samariayoo lɛ kɛɛ lɛ akɛ “Te tɛŋŋ ni bo Yudanyo lɛ obaa mi Samariayoo lɛ nu ni onuŋ?” (Ejaakɛ Yudafoi kɛ Samariabii enuuu tsene kome naa nu)
   Jesus answered and said to her 'If you knew the gift of God and who it is who says to you “Give Me a drink” you would have asked Him and He would have given you living water',  Yesu here nɔ ni ekɛɛ lɛ akɛ “Eji ole Nyɔŋmɔ nɔkeenɔ lɛ kɛ mɔ ni kɛɔ bo akɛ ‘Hã mi eko manu lɛ’ kulɛ bo moŋ oooba lɛ ni eeehã bo wala nu”
   The woman said to Him 'Sir You have nothing to draw with and the well is deep Where then do You get that living water?,  Yoo lɛ kɛɛ lɛ akɛ “Nuŋtsɔ obɛ nɔ ni okɛaayɛ ni bu lɛ mli kwɔ hu nɛgbɛ ona wala nu lɛ yɛ mɔ?
   Are You greater than our father Jacob who gave us the well and drank from it himself as well as his sons and his livestock?',  Ani ofe wɔtsɛ Yakob ni hã wɔ nubu lɛ ni lɛ diɛŋtsɛ enu mli nu kɛ ebii kɛ ekooloi lɛ?
   Jesus answered and said to her 'Whoever drinks of this water will thirst again,  Yesu here nɔ ni ekɛɛ lɛ akɛ “Mɔ fɛɛ mɔ ni nuɔ nu nɛɛ lɛ kumai baaye lɛ ekoŋŋ
   but whoever drinks of the water that I shall give him will never thirst But the water that I shall give him will become in him a fountain of water springing up into everlasting life',  shi mɔ ni nuɔ nu ni mi mahã lɛ lɛ kumai yeŋ lɛ dɔŋŋ kɛaatee naanɔ shi moŋ nu ni mahã lɛ lɛ aaatsɔ̃ nu hiŋmɛi ni baa kɛyaa naanɔ wala mli yɛ emli
   The woman said to Him 'Sir give me this water that I may not thirst nor come here to draw',  Yoo lɛ kɛɛ lɛ akɛ “Nuŋtsɔ hã mi nu nɛɛ eko koni kumai akaye mi ni miba biɛ mibayɛ nu dɔŋŋ”
   Jesus said to her 'Go call your husband and come here',  Yesu kɛɛ lɛ akɛ “Yaa ni oyatsɛ owu ni okɛ lɛ aba biɛ”
   The woman answered and said 'I have no husband' Jesus said to her 'You have well said 'I have no husband',  Yoo lɛ here nɔ ni ekɛɛ akɛ “Mibɛ wu” Yesu kɛɛ lɛ akɛ “Ojogbaŋŋ okɛɛ akɛ ‘mibɛ wu’ lɛ
   for you have had five husbands and the one whom you now have is not your husband in that you spoke truly',  ejaakɛ ogbã hii enumɔ ni mɔ ni ogbãa amrɔ nɛɛ tete jeee owu ji lɛ no lɛ owie anɔkwa
   The woman said to Him 'Sir I perceive that You are a prophet,  Yoo lɛ kɛɛ lɛ akɛ “Nuŋtsɔ mina akɛ gbalɔ ji bo
   Our fathers worshiped on this mountain and you Jews say that in Jerusalem is the place where one ought to worship',  Gɔŋ nɛɛ nɔ wɔtsɛmɛi lɛ sɔle yɛ ni nyɛ lɛ nyɛkɛɛ akɛ Yerusalɛm ji he ni sa akɛ asɔle yɛ
   Jesus said to her 'Woman believe Me the hour is coming when you will neither on this mountain nor in Jerusalem worship the Father,  Yesu kɛɛ lɛ akɛ “Yoo lɛ mɔ lɛ me gboŋ jee wɔbɛɔ he ne yɛ nɛ ɔtɛlɛ kɛ nɛ mɔ fa si nnɛ nɔ asɔle ɔhe ni yɛ bɛ nɔ to he mɔ nɔbɛ nɔ
   You worship what you do not know we know what we worship for salvation is of the Jews,  Yɛ ɔtsɛmɛi lɛ nɔ ji yɔɔmɔ lɛ kɛ bɔ ni yɛ ogbɔ bɛi ni Ɔmɛnɛ yɛ nɔ Yudayo
   But the hour is coming and now is when the true worshipers will worship the Father in spirit and truth for the Father is seeking such to worship Him,  Shi ɔtɛlɛ lɛ yɛ ja e ni le eyo ni ogbɔ sɔlɔfoɔ bɛyɛ ɔtsɛmɛi he ni ni kɛbɛnɛ nyɔŋmɔ ni nyɔŋmɔ le nyɛmɔɛ to
   God is Spirit and those who worship Him must worship in spirit and truth',  Nyɔŋmɔ yɛŋbɔ ni yɛ ɔtsɛmɛi he yɛŋbɔ nɛɛ kɛ da ni e
   The woman said to Him 'I know that Messiah is coming' (who is called Christ) 'When He comes He will tell us all things',  Yoo lɛ kɛɛ lɛ akɛ “Mina akɛ hɛn ɛbuɛ ni Ɔŋɛa ɔyɔ ni ɔjɛe lɛ aseyoo ‘Eji ɔ hɛn jɛ e hɛn mɛ nɛ eshɛɛ”
   Jesus said to her 'I who speak to you am He',  Yesu kɛɛ lɛ akɛ “Mii nɛ ɖa nu lɛ ǃ
   And at this point His disciples came and they marveled that He talked with a woman yet no one said 'What do You seek?' or 'Why are You talking with her?',  Eshyɛ ee lɛ ekaselɔi lɛ mli kɛɛ ni ɛbɔda eeyɛsɛ ebi mli “Ewo eaa eyaa?” ni mɔ “Ni nɛtɛɔe lɛ? 
   The woman then left her water pot went her way into the city and said to the men,  Yoo lɛ gbalɔ lɛ mɔ nɔ dɔmɛi bɛ nɔ kɛ nɔ yɛ onuklɔɔi ni nɛbɛnii
   'Come see a Man who told me all things that I ever did Could this be the Christ?',  “Nɔ bɛ Sɛn kɛi lɛ maŋ mɔ nɔ ni yɛhɛn ti Nɛne ni Yuda?
   Then they went out of the city and came to Him,  Eshyɛe akɛɛ ɛyi hɛ wɔ mli nyɛ gbetii nɔ
   In the meantime His disciples urged Him saying 'Rabbi eat',  Ni ekaselɔi lɛ nɔ akɛ mɔkɔɔɔ yɛɛ ni “Rabbi ŋɔ mli”
   But He said to them 'I have food to eat of which you do not know',  Shi Yesu kɛɛ lɛ akɛ “Mi nɔ mli nɔ ɛnɛ o hɛnni”
   Therefore the disciples said to one another 'Has anyone brought Him anything to eat?',  Agbɛnɛ ekaselɔi lɛ kɛɛ lɛ “Ewɔ mli nɔ bɛ kɛɛ nɔ?”
   Jesus said to them 'My food is to do the will of Him who sent Me and to finish His work',  Yesu kɛɛ lɛ akɛ “Mii nɔ nɔ eho ni a nɛ nɔkɔ ni mli a ɖaa mɛ
   Do you not say 'There are still four months and then comes the harvest?' Behold I say to you lift up your eyes and look at the fields for they are already white for harvest!,  Ani ɛnyɛɔ “Gbekɛŋŋ nɔlɛ ayɛtsɛi fɔrɔ?” Ani ni ɖeŋɛɛ kɛɔ ni hɛn lo hɛn na a lɛ ha
   And he who reaps receives wages and gathers fruit for eternal life that both he who sows and he who reaps may rejoice together,  Ni ogbɛɛ nɔ yɛ mɔ ni ɔnɔ yɛ nyɛmɔ jɛ ɔyɔ ǃ
   For in this the saying is true 'One sows and another reaps',  Jɔ eho ni nsɛe sɛ ‘mɔ sɔ ni onyi ohuu”
   I sent you to reap that for which you have not labored others have labored and you have entered into their labors',  Mi ba yɛ sɔmɛi ni a mɔ lɛ ɛhe ɔyɔji ni mɔ jɛ mɔ
   And many of the Samaritans of that city believed in Him because of the word of the woman who testified 'He told me all that I ever did',  Ni ɔbo nɔ bɛ bɛɛ ɔha bɛɛ mɔ ni lɛ onuklɔɔ lɛ ni ‘eji ɖaa mɔ’
   So when the Samaritans had come to Him they urged Him to stay with them and He stayed there two days,  Agbɛnɛ be nɔ bɛ Sɛn mɔ ni etɔ akɛ nɔ fɛɛ
   And many more believed because of His own word,  Ni ɔbo be lɛɛ jɛ ɔyɔ mɔ
   Then they said to the woman 'Now we believe not because of what you said for we ourselves have heard Him and we know that this is indeed the Christ the Savior of the world',  Ehyɛ lɛ “Nɔ lɛ hɛn ji nɛ bɔ mɔ hɛn no nɛ lɛ ɖee”
   Now after the two days He departed from there and went to Galilee,  Eno lɛ ni Yesu eba nɔ gbetii Galilea
   For Jesus Himself testified that a prophet has no honor in his own country,  Ni Yesu kɛɛ nɛ Ni ɔkɛfoɔ nɔ le tɛɛlɛ nɔ
   So when He came to Galilee the Galileans received Him having seen all the things He did in Jerusalem at the feast for they also had gone to the feast,  Eji ɔ mɛni Galilea ni Galileans tɔɔ mɔ nɔ ni nɔ lɛ yɛ he gbetii
   So Jesus came again to Cana of Galilee where He had made the water wine And there was a certain nobleman whose son was sick at Capernaum,  Eji Yesu yɛ ƒe nɔ ni ne ba nɔ lɛ gbɛi ni bɛ nɛ lɛ he
   When he heard that Jesus had come out of Judea into Galilee he went to Him and implored Him to come down and heal his son for he was at the point of death,  Ni mɔ ekase ni Yesu kɛɛ lɛ Yuda mɔ ja mɔ ni nɛa nɛ bo ni ɔyɛ lɛ
   Then Jesus said to him 'Unless you people see signs and wonders you will by no means believe',  Eji Yesu kɛɛ nɛ “Ni ɔtsɛmɛi hɛn ni mɔ hɛn ji”
   The nobleman said to Him 'Sir come down before my child dies!',  Nɛ nɛ nɛ 'Ayi hɛn ɔyɛ! Nɛ hɛn na nɔ! 
   Jesus said to him 'Go your way your son lives!' So the man believed the word that Jesus spoke to him and he went his way,  Yesu kɛɛ nɛ 'Nɔ lɛ nɛ ba na a ni mɔ yɛn he
   And as he was now going down his servants met him and told him saying 'Your son lives!',  Eshyɛ ee nɔ lɛ nɛ ɔyɔ nɔ ɔda ni nɔ yɛ aji lɛ 'Nɛ ba na a!'
   Then he inquired of them the hour when he got better And they said to him 'Yesterday at the seventh hour the fever left him',  Eji ɔɔ ehiɔ ni ɛbɔda ɛdɔmɛi 'Nɛ nɔ ɖɔmɛi kɛ pɛ nɛ nɔ yɛ a a wɔlɛ he
   So the father knew that it was at the same hour in which Jesus said to him 'Your son lives' And he himself believed and his whole household,  Ni ɔba fɔɔ lɛ ni wɔ gbɛi ni a ɔyɛ nɛ lɛ 'Nɛ ba lɛ'
   This again is the second sign Jesus did when He had come out of Judea into Galilee,  Lɛ ebi lɛ yɛ ɔsɔsɔ ni Yesu yɛ lɛ Yuda bɛ tɔ Galilea
After this there was a feast of the Jews and Jesus went up to Jerusalem,  Enɛ sɛɛ lɛ Yudafoi lɛ agbijurɔ ko bashɛ ni Yesu tee Yerusalɛm
   Now there is in Jerusalem by the Sheep Gate a pool which is called in Hebrew Bethesda having five porches,  Kpaakpo ko yɛ Yerusalɛm yɛ Toi Agboi lɛ masɛi ni Hebri wiemɔ mli lɛ atsɛɔ lɛ Betesda ni koii enumɔ yɛ he
   In these lay a great multitude of sick people blind lame paralyzed waiting for the moving of the water,  Enɛɛmɛi amli helatsɛmɛi pii — shwilafoi akpakei kɛ obubuafoi — kãmɔ ni amɛmɛɔ nu lɛ mlitaa
   For an angel went down at a certain time into the pool and stirred up the water then whoever stepped in first after the stirring of the water was made well of whatever disease he had,  Ejaakɛ bei komɛi lɛ ŋwɛi bɔfo ko kpelekeɔ shi kɛbaa kpaakpo lɛ mli ni ebataa nu lɛ mli kɛkɛ lɛ emlitaa lɛ sɛɛ lɛ mɔ fɛɛ mɔ ni yagbeɔ nu lɛ mli tsutsu lɛ hela fɛɛ hela ni eyeɔ lɛ ehe tãa
   Now a certain man was there who had an infirmity thirty-eight years,  Nuu ko yɛ jɛi ni ehe eye afii nyɔŋmai etɛ̃ kɛ kpaanyɔ
   When Jesus saw him lying there and knew that he already had been in that condition a long time He said to him 'Do you want to be made well?',  Yesu na lɛ ni ekã shi ni akɛni ele akɛ etsɛ aahu lɛ ebi lɛ akɛ 'Oosumɔ akɛ ohe awa bo lo?'
   The sick man answered Him 'Sir I have no man to put me into the pool when the water is stirred up but while I am coming another steps down before me',  Helatsɛ lɛ here lɛ nɔ akɛ 'Nuŋtsɔ mibɛ mɔ ko ni kɛ abata nu lɛ mli ni eeewo mi eyawo kpaakpo lɛ mli shi kɛ miiya lɛ mɔ kroko tsɔ̃ɔ mihiɛ eyagbeɔ mli'
   Jesus said to him 'Rise take up your bed and walk',  a Yesu kɛɛ lɛ akɛ 'Tee shi kɔ osaa lɛ ni onyiɛ!'
   And immediately the man was made well took up his bed and walked And that day was the Sabbath,  b Ni amrɔ lɛ gbɔmɔ lɛ he wa lɛ ni ewo esaa lɛ ni enyiɛ
   The Jews therefore said to him who was cured 'It is the Sabbath it is not lawful for you to carry your bed',  c No hewɔ lɛ Yudafoi lɛ kɛɛ mɔ ni atsa lɛ akɛ 'hejɔɔmɔ gbi nɛ obɛ hegbɛ akɛ otereɔ osaa'
   He answered them 'He who made me well said to me “Take up your bed and walk”',  Ehere amɛ nɔ akɛ 'Mɔ ni tsa mi lɛ lɛ ekɛɛ mi akɛ ‘Kɔ osaa lɛ ni onyiɛ’ '
   Then they asked him 'Who is the Man who said to you “Take up your bed and walk?”',  Amɛbi lɛ akɛ 'Namɔ ji mɔ ni kɛɛ bo akɛ ‘Kɔ osaa lɛ ni onyiɛ’ lɛ?'
   But the one who was healed did not know who it was for Jesus had withdrawn a multitude being in that place,  Shi mɔ ni atsa lɛ leee mɔ ni ji ejaakɛ mɛi pii yɛ jɛi ni Yesu egbala ehe shi
   Afterward Jesus found him in the temple and said to him 'See you have been made well Sin no more lest a worse thing come upon you',  d Fee sɛɛ lɛ Yesu yana lɛ yɛ Sɔlemɔ we lɛ ni ekɛɛ lɛ akɛ 'Naa ohe ewa bo kaafee esha dɔŋŋ koni efɔŋ ni fe tsutsu nɔ lɛ akaba onɔ'
   The man departed and told the Jews that it was Jesus who had made him well,  Nuu lɛ yiŋ etee ni eyagba Yudafoi lɛ akɛ Yesu ji mɔ ni tsa lɛ lɛ
   For this reason the Jews persecuted Jesus and sought to kill Him because He had done these things on the Sabbath,  e No hewɔ lɛ Yudafoi lɛ jie amɛhiɛ amɛka Yesu ejaakɛ hejɔɔmɔ gbi lɛ nɔ efee nii nɛɛ
   But Jesus answered them 'My Father has been working until now and I have been working',  f Shi Yesu here amɛ nɔ ekɛɛ 'MiTsɛ miitsu nii kɛbashi be nɛ ni mi hu miitsu'
   Therefore the Jews sought all the more to kill Him because He not only broke the Sabbath but also said that God was His Father making Himself equal with God,  g No hewɔ titri Yudafoi lɛ taoɔ lɛ agbe lɛ ejaakɛ jeee akɛ ebule hejɔɔmɔ gbi lɛ kɛkɛ shi asaŋ etsɛ Nyɔŋmɔ akɛ lɛ diɛŋtsɛ eTsɛ ni efee ehe akɛ mɔ ko ni kɛ Nyɔŋmɔ ye hegbɔ
   Then Jesus answered and said to them 'Most assuredly I say to you the Son can do nothing of Himself but what He sees the Father do for whatever He does the Son also does in like manner',  No hewɔ lɛ Yesu here nɔ ekɛɛ amɛ akɛ 'Anɔkwale mikɛɔ nyɛ akɛ Bi lɛ diɛŋtsɛ nyɛŋ eto eyiŋ efee nɔ ko ja nɔ ni ena akɛ Tsɛ lɛ miifee ejaakɛ nibii fɛɛ ni Tsɛ lɛ feɔ lɛ nomɛi nɔŋŋ Bi lɛ hu feɔ
   For the Father loves the Son and shows Him all things that He Himself does and He will show Him greater works than these that you may marvel,  i Ejaakɛ Tsɛ lɛ sumɔɔ Bi lɛ ni etsɔ̃ɔ lɛ nibii fiaa ni lɛ diɛŋtsɛ efeɔ lɛ ni eeetsɔ̃ɔ lɛ nitsumɔi wuji ni fe enɛɛmɛi tete ni nyɛnaa aaakpɛ nyɛhe
   For as the Father raises the dead and gives life to them even so the Son gives life to whom He will,  Ejaakɛ bɔ ni Tsɛ lɛ teɔ gbohii ashi ni ehãa amɛ wala lɛ nakai nɔŋŋ Bi lɛ hu hãa mɛi ni esumɔɔ lɛ wala
   For the Father judges no one but has committed all judgment to the Son,  j Ejaakɛ Tsɛ lɛ ekojooo mɔ ko shi moŋ etu kojomɔ lɛ fɛɛ ewo Bi lɛ dɛŋ
   That all should honor the Son just as they honor the Father He who does not honor the Son does not honor the Father who sent Him,  k koni mɛi fɛɛ abu Bi lɛ tamɔ bɔ ni amɛbuɔ Tsɛ lɛ Mɔ ni ebuuu Bi lɛ ebuuu Tsɛ lɛ ni tsu lɛ lɛ hu
   'Most assuredly I say to you he who hears My word and believes in Him who sent Me has everlasting life and shall not come into judgment but has passed from death into life',  l “Anɔkwale mikɛɔ nyɛ akɛ mɔ ni nuɔ miwiemɔ ni eheɔ mɔ ni tsu mi lɛ eyeɔ lɛ eyɛ naanɔ wala ni ebaŋ kojomɔ mli shi moŋ efo mli yɛ gbele mli kɛtee wala mli
   'Most assuredly I say to you the hour is coming and now is when the dead will hear the voice of the Son of God and those who hear will live',  m Anɔkwale mikɛɔ nyɛ akɛ ŋmɛlɛtswaa lɛ miiba ni eshɛ etã ni gbohii lɛ aaanu Nyɔŋmɔ Bi lɛ gbee ni mɛi ni nuɔ lɛ aaana wala
   For as the Father has life in Himself so He has granted the Son to have life in Himself,  n Ejaakɛ bɔ ni Tsɛ lɛ yɔɔ wala yɛ lɛ diɛŋtsɛ emli lɛ nakai nɔŋŋ ehã Bi lɛ wala yɛ lɛ diɛŋtsɛ emli
   And has given Him authority to execute judgment also because He is the Son of Man,  o Ni ehã lɛ hegbɛ akɛ ekojo hu ejaakɛ lɛ ji Gbɔmɔ Bi lɛ
   Do not marvel at this for the hour is coming in which all who are in the graves will hear His voice,  Enɛ akafee nyɛ naakpɛɛ ejaakɛ ŋmɛlɛtswaa lɛ miiba nɔ mli ni mɛi fɛɛ ni yɔɔ gbohii abui amli lɛ aaanu egbee
   and come forth — those who have done good to the resurrection of life and those who have done evil to the resurrection of condemnation,  p ni amɛaaje kpo mɛi ni efee ekpakpa lɛ aaate shi kɛaatee wala mli ni mɛi ni etsu nishaianii lɛ aaate shi kɛaatee kojomɔ lɛ mli
   'I can of Myself do nothing As I hear I judge and My judgment is righteous because I do not seek My own will but the will of the Father who sent Me',  q 'Mi diɛŋtsɛ minyɛŋ miyiŋ mato mafee nɔ ko bɔ ni minuɔ lɛ nakai mikojoɔ ni mikojomɔ lɛ jalɛ kojomɔ ni ejaakɛ mitaooo nɔ ni mi diɛŋtsɛ misumɔɔ shi moŋ nɔ ni mɔ ni tsu mi lɛ sumɔɔ
   'If I bear witness of Myself My witness is not true',  Kɛji mi diɛŋtsɛ mihe odase miyeɔ lɛ midase lɛ jeee anɔkwale
   There is another who bears witness of Me and I know that the witness which He witnesses of Me is true,  r Mɔ kroko yɛ ni yeɔ mihe odase ni mile akɛ odase ni eyeɔ yɛ mihe lɛ anɔkwaleŋ
   You have sent to John and he has borne witness to the truth,  s Nyɛ lɛ nyɛtsu atee Yohane ŋɔɔ ni eye anɔkwale lɛ he odase
   Yet I do not receive testimony from man but I say these things that you may be saved,  Shi mi lɛ mikɛ mihe efɔ̃ɔɔ gbɔmɔ ko odase nɔ shi bɔ ni afee ni ahere nyɛyiwala hewɔ miwieɔ enɛɛmɛi nɛɛ
   He was the burning and shining lamp and you were willing for a time to rejoice in his light,  t Yohane ji kane ni tsoɔ ni ekpɛɔ lɛ shi nyɛ lɛ nyɛsumɔ akɛ nyɛmli afili nyɛ be kukuoo kɛkɛ yɛ elá lɛ mli
   But I have a greater witness than John's for the works which the Father has given Me to finish — the very works that I do — bear witness of Me that the Father has sent Me,  u Shi mi lɛ miyɛ odase ni fe Yohane nɔ lɛ ejaakɛ nitsumɔi lɛ ni Tsɛ lɛ ehã mi akɛ migbe naa lɛ nakai nitsumɔi ni mitsuɔ lɛ nɔŋŋ yeɔ mihe odase akɛ Tsɛ lɛ tsu mi
   And the Father Himself who sent Me has testified of Me You have neither heard His voice at any time nor seen His form,  v Ni Tsɛ lɛ ni tsu mi lɛ lɛ diɛŋtsɛ eye mihe odase Nyɛnuko egbee dã lɛ asaŋ nyɛnako esubaŋ dã
   But you do not have His word abiding in you because whom He sent Him you do not believe,  ni ewiemɔ lɛ mɔɔɔ shi yɛ nyɛmli ejaakɛ nyɛheee mɔ ni etsu lɛ nyɛyeee
   'You search the Scriptures for in them you think you have eternal life and these are they which testify of Me',  v Nyɛtaoɔ ŋmalɛi lɛ amli ejaakɛ nyɛ diɛŋtsɛ nyɛsusuɔ akɛ nomɛi amli nyɛnaa naanɔ wala yɛ ni nomɛi nɔŋŋ ji nii ni yeɔ mihe odase lɛ
   'But you are not willing to come to Me that you may have life',  Kɛ̃lɛ nyɛsumɔɔɔ akɛ nyɛbaa miŋɔɔ ni nyɛna wala
   'I do not receive honor from men',  “Mitaooo gbɔmɛi ahiɛnyam 
   But I know you that you do not have the love of God in you,  Shi moŋ mikpa nyɛ shi akɛ nyɛbɛ Nyɔŋmɔ suɔmɔ yɛ nyɛmli
   'I have come in My Father's name and you do not receive Me if another comes in his own name him you will receive',  Mi lɛ miba yɛ miTsɛ gbɛi mli ni nyɛhereee mi kɛji mɔ kroko ba yɛ lɛ diɛŋtsɛ egbɛi mli lɛ lɛ lɛ nyɛaahere lɛ
   'How can you believe who receive honor from one another and do not seek the honor that comes from the only God?',  w Te aaafee tɛŋŋ ni nyɛaanyɛ nyɛhe nyɛyeŋ nyɛ ni nyɛtaoɔ anunyam yɛ nyɛteaŋ shi anunyam ni jɛɔ Nyɔŋmɔ koome lɛ ŋɔɔ lɛ nyɛdii sɛɛ lɛ?
   'Do not think that I shall accuse you to the Father there is one who accuses you — Moses in whom you trust',  x Nyɛkasusua akɛ mi mibafolɔ nyɛnaa mahã Tsɛ lɛ mɔ ko yɛ ni miifolɔ nyɛnaa lɛ ji Mose mɔ nɔ ni nyɛŋɔ nyɛhiɛ nyɛfɔ̃ lɛ
   'For if you believed Moses you would believe Me for he wrote about Me',  y Shi eji nyɛhe Mose nyɛye kulɛ mi hu nyɛaahe mi nyɛye ejaakɛ mihe sane eŋma lɛ
   'But if you do not believe his writings how will you believe My words?'',  z Shi kɛji nyɛheee eŋmalɛi lɛ nyɛyeee lɛ te aaafee tɛŋŋ ni nyɛaahe miwiemɔi lɛ nyɛyeŋ?
   After these things Jesus went over the Sea of Galilee which is the Sea of Tiberias,  Enɛ sɛɛ lɛ Yesu yiŋ etee Galilea Ŋshɔ ni ji Tiberia Ŋshɔ lɛ sɛɛ
   Then a great multitude followed Him because they saw His signs which He performed on those who were diseased,  Ni mɛi babaoo nyiɛ esɛɛ ejaakɛ amɛna naakpɛɛ nii ni efee yɛ helatsɛmɛi lɛ ahe lɛ
   And Jesus went up on the mountain and there He sat with His disciples,  Ni Yesu tee gɔŋ lɛ nɔ ni ekɛ ekaselɔi lɛ yatara jɛi
   Now the Passover a feast of the Jews was near,  a Shi Hehoo lɛ ni ji Yudafoi lɛ agbijurɔ lɛ eshɛ etã
   Then Jesus lifted up His eyes and seeing a great multitude coming toward Him He said to Philip 'Where shall we buy bread that these may eat?',  Yesu yaawo ehiɛ nɔ lɛ ena akɛ mɛi babaoo miiba eŋɔɔ ni ebi Filipo akɛ “Nɛgbɛ wɔɔyahe aboloo yɛ wɔhã mɛnɛɛmɛi amɛye?”
   But this He said to test him for He Himself knew what He would do,  Shi enɛ lɛ ekɛɛ ekɛka lɛ ejaakɛ lɛ diɛŋtsɛ ele nɔ ni ebaafee
   Philip answered Him 'Two hundred denarii worth of bread is not sufficient for them that every one of them may have a little',  Filipo here lɛ nɔ akɛ “Denarioi ohai enyɔ naa aboloo shɛŋ amɛ bɔ ni amɛteŋ mɔ fɛɛ mɔ aaana fioo ko”
   One of His disciples Andrew Simon Peter's brother said to Him,  Ekaselɔi lɛ ateŋ mɔ kome ni atsɛɔ lɛ Andrea lɛ ni ji Simon Petro nyɛmi lɛ kɛɛ lɛ akɛ
   'There is a lad here who has five barley loaves and two small fish but what are they among so many?',  “Gbekɛ nuu ko yɛ biɛ ni yɔɔ aboloi enumɔ kɛ loi bibii enyɔ shi mɛi pii nɛɛ amɛnɛgbɛ enɛ shɛɔ?”
   Then Jesus said 'Make the people sit down' Now there was much grass in the place So the men sat down in about five thousand,  Shi Yesu kɛɛ “Nyɛhãa mɛi lɛ ataraa shi” Shi jwɛi pii yɛ jɛi ni hii ni amɛyibɔ aaashɛ akpei enumɔ lɛ ho tara shi
   And Jesus took the loaves and when He had given thanks He distributed them to the disciples and the disciples to those sitting down and likewise of the fish as much as they wanted,  Ni Yesu kɔlɔ aboloi lɛ ni be ni eda shi lɛ eja ehã mɛi ni tara shi lɛ kɛ loi lɛ hu eko bɔ fɛɛ bɔ ni amɛtaoɔ
   So when they were filled He said to His disciples 'Gather up the fragments that remain so that nothing is lost',  Be ni amɛtɔrɔ lɛ ekɛɛ ekaselɔi lɛ akɛ “Nyɛbuaa fufuji ni eshwɛ lɛ anaa koni nɔ ko akalaaje”
   Therefore they gathered them up and filled twelve baskets with the fragments of the five barley loaves which were left over by those who had eaten,  Kɛkɛ ni amɛbua aboloi enumɔ lɛ afufuji ni mɛi ni ye lɛ shwɛ lɛ anaa amɛwo kafui nyɔŋma kɛ enyɔ obɔ̃bɔ̃
   Then those men when they had seen the sign that Jesus did said 'This is truly the Prophet who is to come into the world',  b No hewɔ lɛ be ni gbɔmɛi lɛ na naakpɛɛnii ni Yesu fee lɛ amɛkɛɛ “Anɔkwa mɔ nɛ ji gbalɔ ni baa je lɛ mli lɛ!”
   Therefore when Jesus perceived that they were about to come and take Him by force to make Him king He departed again to the mountain by Himself alone,  c Be ni Yesu yoo akɛ amɛbaaba ni amɛbamɔ lɛ ni amɛyawo lɛ maŋtsɛ lɛ ekome too egbala ehe shi kɛtee gɔŋ lɛ nɔ ekoŋŋ
   Now when evening came His disciples went down to the sea,  Be ni shɛ gbɛkɛnaashi lɛ ekaselɔi lɛ yiŋ kɛtee ŋshɔ lɛ naa
   They got into the boat and went over the sea toward Capernaum And it was already dark and Jesus had not come to them,  ni amɛyabote lɛlɛ mli ni amɛmiifo ŋshɔ lɛ kɛya Kapernaum Shi duŋ ewo fɛɛ lɛ Yesu bako amɛŋɔɔ lolo
   Then the sea arose because a great wind was blowing,  ni ahum ko ni batswa hewɔ lɛ ŋshɔ lɛ fite
   So when they had rowed about three or four miles they saw Jesus walking on the sea and drawing near the boat and they were afraid,  Be ni amɛwiri aaafee shitoi etɛ̃ loo ejwɛ lɛ amɛna Yesu ni enyiɛ ŋshɔ lɛ hiɛ ni eebɛŋkɛ lɛlɛ lɛ ni amɛshe gbeyei
   But He said to them 'It is I do not be afraid',  Shi ekɛɛ amɛ akɛ “Miŋ nyɛkashea gbeyei”
   Then they willingly received Him into the boat and immediately the boat was at the land where they were going,  No hewɔ lɛ amɛkɛ miishɛɛ ŋɔ lɛ kɛba lɛlɛ lɛ ni nɛ kɛɛ lɛ lɛ lɛlii
   On the following day when the people who were standing on the other side of the sea saw that there was no other boat there except that one which His disciples had entered and that Jesus had not entered the boat with His disciples,  Nɛ mɛtsɛ lɛ lɛ be ni mɛi lɛ ni yɔɔ naakpɛ lɛ nɛ hahe ni hewɔ mɛkɛɛ ko kɛbi lɛlɛ ni Yesu amɛŋɔɔ lɛ lɛ ahe akeselɔi lɛ
   however other boats came from Tiberias near the place where they ate bread after the Lord had given thanks,  Nɛ ɛyɔ abɛ yɛ lɛ Tiberia lɛ kɛ laa abɛ nɛ ɛkɛe ahe amɛye lɛ amɛna ḿshi ahe lɛ bɔji
   when the people therefore saw that Jesus was not there nor His disciples they also got into boats and came to Capernaum seeking Jesus,  Be ni amɛyɔɔ lɛ lɛ akɛ ɛnyɛ lɛ naakpɛɛ nii no gɔɔ lɛ amɛkɛ Kapernaum ni mɛyɛ Yesu
   And when they found Him on the other side of the sea they said to Him 'Rabbi when did You come here?',  Ni be ni amɛjɛ lɛ nɛ ahe ḿli lɛ amɛkɛ “Rabbi akɛ ebi enyi fɛɛ lɛ?”
   Jesus answered them and said 'Most assuredly I say to you you seek Me not because you saw the signs but because you ate of the loaves and were filled',  Yesu here ni amɛ “Nɔ lɛ na mɛdɛ amɛi lɛ ebi nɛ abɛyɛ nɛ jɛ etɛ bɔ ni amɛyewo”
